#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-25T15:21:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562cf2e93c78	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/AJ/147/136/table12
#-nav=cat:J/AJ/147/136&tab:{J/AJ/147/136/table12}&key:source=J/AJ/147/136/table12&HTTPPRM:&&-ref=VIZ562cf2e93c78&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Ion&-ignore=A=*&A=A&-out=Nl&-out=l_log(e)&-out=log(e)&-out=[X/Fe]&-out=s_[X/Fe]&-out=e_[X/Fe]&-out=e2_[X/Fe]&-out=e3_[X/Fe]&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/147/136/table12
#-source=J/AJ/147/136/table12
#-order=I
#-out=Ion
#-out=Nl
#-out=l_log(e)
#-out=log(e)
#-out=[X/Fe]
#-out=s_[X/Fe]
#-out=e_[X/Fe]
#-out=e2_[X/Fe]
#-out=e3_[X/Fe]
#-out=Name
#

#RESOURCE=yCat_51470136
#Name: J/AJ/147/136
#Title: Stars of very low metal abundance. VI. Abundances (Roederer+, 2014)
#Table	J_AJ_147_136_table12:
#Name: J/AJ/147/136/table12
#Title: Mean abundances
#Column	Ion	(A6)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	Nl	(I3)	Number of lines used	[ucd=meta.number]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error;phys.abund;arith.zp]
#Column	log(e)	(F5.2)	? Log mean abundance (log{epsilon})	[ucd=phys.abund;arith.zp]
#Column	[X/Fe]	(F5.2)	? Abundance relative to FeI and FeII	[ucd=phys.abund]
#Column	s_[X/Fe]	(F5.2)	? Statistical uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[X/Fe]	(F5.2)	? Total uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e2_[X/Fe]	(F5.2)	? Neutrals uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e3_[X/Fe]	(F5.2)	? Ions uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	Name	(A12)	Star identifier	[ucd=meta.id;meta.main]
Ion|Nl|l_log(e)|log(e)|[X/Fe]|s_[X/Fe]|e_[X/Fe]|e2_[X/Fe]|e3_[X/Fe]|Name
Ir I  |  1|<| 0.50| 1.80|     |     |     |     |CS 22172-029
Pb I  |  1|<| 0.40| 1.04|     |     |     |     |CS 22172-029
Th II |  1|<|-1.50| 1.14|     |     |     |     |CS 22172-029
Fe I  | 60| | 4.21|-3.29| 0.07| 0.22| 0.00| 0.00|CS 22174-020
Fe II |  2| | 4.48|-3.02| 0.07| 0.14| 0.00| 0.00|CS 22174-020
Li I  |  1| | 1.95|     | 0.06| 0.20| 0.11| 0.20|CS 22174-020
C (CH)|  1|<| 5.90| 0.50|     |     |     |     |CS 22174-020
N (NH)|  1|<| 5.90| 1.10|     |     |     |     |CS 22174-020
O I   |  3|<| 6.34| 0.94|     |     |     |     |CS 22174-020
Mg I  |  5| | 4.81| 0.50| 0.06| 0.21| 0.10| 0.21|CS 22174-020
Al I  |  2| | 2.41|-0.75| 0.09| 0.22| 0.12| 0.22|CS 22174-020
Si I  |  1| | 4.61| 0.39| 0.16| 0.36| 0.24| 0.33|CS 22174-020
Ca I  | 10| | 3.61| 0.56| 0.12| 0.23| 0.15| 0.23|CS 22174-020
Sc II |  2| | 0.11|-0.02| 0.08| 0.15| 0.22| 0.10|CS 22174-020
Ti I  |  2| | 2.24| 0.58| 0.10| 0.21| 0.13| 0.22|CS 22174-020
Ti II |  9| | 2.05| 0.13| 0.05| 0.14| 0.20| 0.09|CS 22174-020
V II  |  2|<| 1.87| 0.96|     |     |     |     |CS 22174-020
Cr I  |  3| | 2.02|-0.33| 0.06| 0.20| 0.10| 0.21|CS 22174-020
Mn I  |  1| | 1.59|-0.55| 0.07| 0.20| 0.11| 0.21|CS 22174-020
Mn II |  2| | 1.95|-0.46| 0.16| 0.20| 0.25| 0.18|CS 22174-020
Co I  |  2| | 1.82| 0.12| 0.19| 0.27| 0.21| 0.27|CS 22174-020
Ni I  |  6| | 2.71|-0.22| 0.16| 0.27| 0.18| 0.27|CS 22174-020
Zn I  |  1|<| 2.23| 0.96|     |     |     |     |CS 22174-020
Sr II |  2| |-0.46|-0.31| 0.04| 0.16| 0.21| 0.14|CS 22174-020
Y II  |  2|<|-0.96|-0.15|     |     |     |     |CS 22174-020
Zr II |  3|<| 0.29| 0.73|     |     |     |     |CS 22174-020
Nb II |  1|<| 1.32| 2.88|     |     |     |     |CS 22174-020
Mo I  |  1|<| 1.19| 2.60|     |     |     |     |CS 22174-020
Tc I  |  1|<| 1.39|     |     |     |     |     |CS 22174-020
Ba II |  1| |-1.52|-0.68| 0.08| 0.15| 0.22| 0.10|CS 22174-020
La II |  4|<|-0.40| 1.52|     |     |     |     |CS 22174-020
Ce II |  5|<| 0.03| 1.47|     |     |     |     |CS 22174-020
Pr II |  5|<|-0.27| 2.03|     |     |     |     |CS 22174-020
Nd II |  5|<|-0.17| 1.43|     |     |     |     |CS 22174-020
Sm II |  2|<|-0.05| 2.01|     |     |     |     |CS 22174-020
Eu II |  4|<|-1.40| 1.10|     |     |     |     |CS 22174-020
Gd II |  3|<| 0.27| 2.22|     |     |     |     |CS 22174-020
Tb II |  3|<| 0.25| 2.97|     |     |     |     |CS 22174-020
Dy II |  3|<|-0.52| 1.40|     |     |     |     |CS 22174-020
Ho II |  1|<|-0.54| 2.00|     |     |     |     |CS 22174-020
Er II |  2|<|-0.22| 1.88|     |     |     |     |CS 22174-020
Tm II |  1|<|-0.70| 2.22|     |     |     |     |CS 22174-020
Yb II |  1|<|-0.82| 1.28|     |     |     |     |CS 22174-020
Hf II |  2|<| 0.64| 2.81|     |     |     |     |CS 22174-020
Ir I  |  1|<| 1.57| 3.48|     |     |     |     |CS 22174-020
Pb I  |  1|<| 1.67| 2.92|     |     |     |     |CS 22174-020
Th II |  3|<|-0.22| 2.74|     |     |     |     |CS 22174-020
Fe I  | 48| | 4.08|-3.42| 0.08| 0.21| 0.00| 0.00|CS 22177-009
Fe II |  2| | 4.13|-3.37| 0.09| 0.16| 0.00| 0.00|CS 22177-009
Li I  |  1| | 1.90|     | 0.06| 0.20| 0.11| 0.21|CS 22177-009
C (CH)|  1|<| 5.95| 0.89|     |     |     |     |CS 22177-009
N (CN)|  1|<| 7.80| 3.34|     |     |     |     |CS 22177-009
O I   |  3|<| 6.39| 1.12|     |     |     |     |CS 22177-009
Mg I  |  5| | 4.53| 0.35| 0.13| 0.24| 0.15| 0.25|CS 22177-009
Al I  |  2| | 2.28|-0.75| 0.10| 0.21| 0.13| 0.23|CS 22177-009
Si I  |  1| | 4.49| 0.40| 0.16| 0.34| 0.24| 0.34|CS 22177-009
Ca I  |  9| | 3.38| 0.46| 0.14| 0.24| 0.16| 0.25|CS 22177-009
Sc II |  3| |-0.31|-0.09| 0.11| 0.17| 0.23| 0.14|CS 22177-009
Ti II | 12| | 1.75| 0.18| 0.08| 0.15| 0.21| 0.12|CS 22177-009
V II  |  2|<| 1.69| 1.13|     |     |     |     |CS 22177-009
Cr I  |  3| | 1.91|-0.30| 0.07| 0.20| 0.11| 0.22|CS 22177-009
Mn I  |  1| | 1.44|-0.57| 0.10| 0.22| 0.13| 0.23|CS 22177-009
Mn II |  1| | 1.70|-0.36| 0.16| 0.21| 0.25| 0.20|CS 22177-009
Co I  |  4| | 1.87| 0.30| 0.20| 0.28| 0.22| 0.29|CS 22177-009
Ni I  |  6| | 2.77|-0.02| 0.17| 0.27| 0.19| 0.28|CS 22177-009
Zn I  |  2|<| 2.31| 1.17|     |     |     |     |CS 22177-009
Sr II |  2| |-0.97|-0.47| 0.05| 0.13| 0.21| 0.11|CS 22177-009
Zr II |  1|<| 0.46| 1.25|     |     |     |     |CS 22177-009
Nb II |  1|<| 1.34| 3.25|     |     |     |     |CS 22177-009
Mo I  |  1|<| 1.11| 2.65|     |     |     |     |CS 22177-009
Tc I  |  1|<| 1.37|     |     |     |     |     |CS 22177-009
Ba II |  5|<|-1.69|-0.50|     |     |     |     |CS 22177-009
La II |  4|<|-0.73| 1.54|     |     |     |     |CS 22177-009
Ce II |  5|<|-0.05| 1.74|     |     |     |     |CS 22177-009
Pr II |  4|<|-0.29| 2.36|     |     |     |     |CS 22177-009
Nd II |  5|<|-0.26| 1.69|     |     |     |     |CS 22177-009
Sm II |  2|<|-0.06| 2.35|     |     |     |     |CS 22177-009
Eu II |  4|<|-1.37| 1.48|     |     |     |     |CS 22177-009
Gd II |  3|<| 0.19| 2.49|     |     |     |     |CS 22177-009
Tb II |  4|<|-0.28| 2.79|     |     |     |     |CS 22177-009
Dy II |  3|<|-0.48| 1.79|     |     |     |     |CS 22177-009
Ho II |  2|<|-0.59| 2.30|     |     |     |     |CS 22177-009
Er II |  3|<|-0.19| 2.26|     |     |     |     |CS 22177-009
Tm II |  2|<|-0.63| 2.64|     |     |     |     |CS 22177-009
Yb II |  1|<|-1.26| 1.19|     |     |     |     |CS 22177-009
Hf II |  2|<| 0.48| 3.00|     |     |     |     |CS 22177-009
Pb I  |  1|<| 1.59| 2.97|     |     |     |     |CS 22177-009
Th II |  3|<|-0.39| 2.92|     |     |     |     |CS 22177-009
Fe I  | 71| | 4.50|-3.00| 0.07| 0.22| 0.00| 0.00|CS 22177-010
Fe II |  5| | 4.62|-2.88| 0.09| 0.15| 0.00| 0.00|CS 22177-010
Li I  |  1| | 2.01|     | 0.06| 0.20| 0.10| 0.21|CS 22177-010
C (CH)|  1|<| 6.15| 0.60|     |     |     |     |CS 22177-010
N (NH)|  1|<| 6.35| 1.40|     |     |     |     |CS 22177-010
O I   |  3|<| 6.10| 0.41|     |     |     |     |CS 22177-010
Mg I  |  7| | 5.03| 0.44| 0.07| 0.22| 0.10| 0.22|CS 22177-010
Al I  |  2| | 2.74|-0.70| 0.09| 0.23| 0.13| 0.24|CS 22177-010
Si I  |  1| | 5.06| 0.55| 0.16| 0.36| 0.24| 0.33|CS 22177-010
Ca I  | 11| | 3.89| 0.55| 0.11| 0.22| 0.14| 0.23|CS 22177-010
Sc II |  2| | 0.21|-0.06| 0.08| 0.15| 0.21| 0.12|CS 22177-010
Ti I  |  4| | 2.40| 0.45| 0.11| 0.22| 0.14| 0.23|CS 22177-010
Ti II | 12| | 2.28| 0.21| 0.06| 0.14| 0.20| 0.11|CS 22177-010
Cr I  |  4| | 2.47|-0.17| 0.05| 0.20| 0.09| 0.21|CS 22177-010
Mn I  |  3| | 1.97|-0.46| 0.08| 0.21| 0.12| 0.22|CS 22177-010
Mn II |  3| | 2.18|-0.37| 0.16| 0.21| 0.25| 0.19|CS 22177-010
Co I  |  3| | 2.13| 0.14| 0.16| 0.25| 0.18| 0.26|CS 22177-010
Ni I  |  7| | 3.20|-0.02| 0.15| 0.27| 0.17| 0.27|CS 22177-010
Zn I  |  2|<| 2.54| 0.98|     |     |     |     |CS 22177-010
Rb I  |  1|<| 2.69| 3.17|     |     |     |     |CS 22177-010
Sr II |  2| |-0.36|-0.35| 0.04| 0.16| 0.21| 0.15|CS 22177-010
Y II  |  4|<|-0.48| 0.19|     |     |     |     |CS 22177-010
Zr II |  3|<| 0.33| 0.63|     |     |     |     |CS 22177-010
Nb II |  1|<| 1.33| 2.75|     |     |     |     |CS 22177-010
Mo I  |  1|<| 1.22| 2.34|     |     |     |     |CS 22177-010
Tc I  |  1|<| 1.39|     |     |     |     |     |CS 22177-010
Ba II |  1| |-1.21|-0.51| 0.06| 0.14| 0.21| 0.11|CS 22177-010
La II |  4|<|-0.71| 1.07|     |     |     |     |CS 22177-010
Ce II |  5|<| 0.09| 1.39|     |     |     |     |CS 22177-010
Pr II |  1|<| 0.14| 2.30|     |     |     |     |CS 22177-010
Nd II |  5|<|-0.06| 1.40|     |     |     |     |CS 22177-010
Sm II |  2|<| 0.00| 1.92|     |     |     |     |CS 22177-010
Eu II |  4|<|-1.32| 1.04|     |     |     |     |CS 22177-010
Gd II |  3|<| 0.19| 2.00|     |     |     |     |CS 22177-010
Tb II |  3|<|-0.20| 2.38|     |     |     |     |CS 22177-010
Dy II |  3|<|-0.35| 1.43|     |     |     |     |CS 22177-010
Ho II |  1|<|-0.56| 1.84|     |     |     |     |CS 22177-010
Er II |  3|<|-0.21| 1.75|     |     |     |     |CS 22177-010
Tm II |  2|<|-0.55| 2.23|     |     |     |     |CS 22177-010
Yb II |  1|<|-1.01| 0.95|     |     |     |     |CS 22177-010
Hf II |  2|<| 0.51| 2.54|     |     |     |     |CS 22177-010
Pb I  |  1|<| 1.57| 2.53|     |     |     |     |CS 22177-010
Th II |  3|<|-0.38| 2.44|     |     |     |     |CS 22177-010
Fe I  | 98| | 4.64|-2.86| 0.07| 0.21| 0.00| 0.00|CS 22180-014
Fe II |  4| | 4.60|-2.90| 0.08| 0.15| 0.00| 0.00|CS 22180-014
Li I  |  1| | 1.83|     | 0.06| 0.20| 0.10| 0.21|CS 22180-014
C (CH)|  1| | 6.05| 0.52| 0.15| 0.25| 0.19| 0.20|CS 22180-014
N (NH)|  1|<| 6.20| 1.27|     |     |     |     |CS 22180-014
O I   |  1| | 6.13| 0.30| 0.13| 0.23| 0.15| 0.24|CS 22180-014
Na I  |  1| | 3.33|-0.05| 0.10| 0.31| 0.20| 0.30|CS 22180-014
Mg I  |  7| | 5.23| 0.49| 0.05| 0.22| 0.09| 0.21|CS 22180-014
Al I  |  1| | 2.82|-0.77| 0.09| 0.29| 0.18| 0.29|CS 22180-014
Si I  |  1| | 5.36| 0.71| 0.16| 0.36| 0.23| 0.31|CS 22180-014
Ca I  | 12| | 3.95| 0.46| 0.11| 0.22| 0.13| 0.23|CS 22180-014
Sc II |  2| | 0.23|-0.02| 0.08| 0.15| 0.21| 0.11|CS 22180-014
Ti I  |  8| | 2.57| 0.47| 0.08| 0.21| 0.11| 0.21|CS 22180-014
Ti II | 16| | 2.33| 0.28| 0.07| 0.14| 0.20| 0.11|CS 22180-014
V I   |  1|<| 1.60| 0.53|     |     |     |     |CS 22180-014
V II  |  1|<| 1.54| 0.51|     |     |     |     |CS 22180-014
Cr I  |  5| | 2.58|-0.20| 0.06| 0.21| 0.09| 0.21|CS 22180-014
Mn I  |  3| | 2.17|-0.41| 0.06| 0.20| 0.09| 0.21|CS 22180-014
Mn II |  4| | 2.18|-0.35| 0.17| 0.22| 0.26| 0.20|CS 22180-014
Co I  |  5| | 2.31| 0.18| 0.14| 0.24| 0.16| 0.25|CS 22180-014
Ni I  |  9| | 3.36| 0.00| 0.14| 0.28| 0.18| 0.27|CS 22180-014
Zn I  |  2|<| 2.44| 0.74|     |     |     |     |CS 22180-014
Rb I  |  1|<| 2.52| 2.86|     |     |     |     |CS 22180-014
Sr II |  2| |-0.30|-0.28| 0.04| 0.20| 0.23| 0.19|CS 22180-014
Y II  |  6|<|-1.01|-0.32|     |     |     |     |CS 22180-014
Zr II |  3|<| 0.51| 0.83|     |     |     |     |CS 22180-014
Nb II |  1|<| 1.40| 2.84|     |     |     |     |CS 22180-014
Mo I  |  1|<| 0.93| 1.91|     |     |     |     |CS 22180-014
Tc I  |  1|<| 1.36|     |     |     |     |     |CS 22180-014
Ba II |  1| |-1.22|-0.50| 0.05| 0.14| 0.21| 0.09|CS 22180-014
Ce II |  5|<|-0.11| 1.21|     |     |     |     |CS 22180-014
Pr II |  5|<|-0.50| 1.68|     |     |     |     |CS 22180-014
Nd II |  5|<|-0.23| 1.25|     |     |     |     |CS 22180-014
Sm II |  2|<|-0.14| 1.80|     |     |     |     |CS 22180-014
Eu II |  4|<|-1.43| 0.95|     |     |     |     |CS 22180-014
Gd II |  3|<| 0.16| 1.99|     |     |     |     |CS 22180-014
Tb II |  4|<|-0.33| 2.27|     |     |     |     |CS 22180-014
Dy II |  3|<|-0.52| 1.28|     |     |     |     |CS 22180-014
Ho II |  1|<|-0.59| 1.83|     |     |     |     |CS 22180-014
Er II |  3|<|-0.25| 1.73|     |     |     |     |CS 22180-014
Tm II |  2|<|-0.63| 2.17|     |     |     |     |CS 22180-014
Yb II |  1|<|-1.33| 0.65|     |     |     |     |CS 22180-014
Hf II |  2|<| 0.52| 2.57|     |     |     |     |CS 22180-014
Pb I  |  1|<| 1.58| 2.40|     |     |     |     |CS 22180-014
Th II |  3|<|-0.50| 2.34|     |     |     |     |CS 22180-014
Fe I  | 96| | 4.85|-2.65| 0.07| 0.21| 0.00| 0.00|CS 22182-033
Fe II |  9| | 5.03|-2.47| 0.07| 0.14| 0.00| 0.00|CS 22182-033
Li I  |  1| | 2.15|     | 0.05| 0.20| 0.09| 0.20|CS 22182-033
C (CH)|  1| | 6.09| 0.13| 0.15| 0.25| 0.19| 0.19|CS 22182-033
N (CN)|  1|<| 7.55| 2.19|     |     |     |     |CS 22182-033
Na I  |  1| | 3.47|-0.12| 0.10| 0.28| 0.18| 0.28|CS 22182-033
Mg I  |  8| | 5.29| 0.34| 0.05| 0.23| 0.09| 0.21|CS 22182-033
Al I  |  1| | 2.92|-0.88| 0.09| 0.30| 0.19| 0.29|CS 22182-033
Si I  |  1| | 5.22| 0.36| 0.16| 0.36| 0.23| 0.31|CS 22182-033
Ca I  | 14| | 4.15| 0.46| 0.11| 0.22| 0.13| 0.22|CS 22182-033
Sc II |  3| | 0.72| 0.04| 0.05| 0.14| 0.20| 0.09|CS 22182-033
Ti I  |  7| | 2.71| 0.41| 0.06| 0.20| 0.10| 0.21|CS 22182-033
Ti II | 19| | 2.82| 0.34| 0.06| 0.14| 0.20| 0.10|CS 22182-033
V II  |  1| | 1.68| 0.22| 0.28| 0.31| 0.34| 0.29|CS 22182-033
Cr I  |  3| | 2.85|-0.14| 0.06| 0.21| 0.09| 0.21|CS 22182-033
Mn I  |  4| | 2.44|-0.34| 0.08| 0.21| 0.10| 0.22|CS 22182-033
Mn II |  1| | 2.66|-0.30| 0.15| 0.22| 0.25| 0.19|CS 22182-033
Co I  |  3| | 2.42| 0.08| 0.12| 0.23| 0.14| 0.23|CS 22182-033
Ni I  |  4| | 3.64| 0.07| 0.13| 0.24| 0.14| 0.24|CS 22182-033
Sr II |  2| | 0.44| 0.04| 0.04| 0.24| 0.25| 0.24|CS 22182-033
Y II  |  1| |-0.85|-0.59| 0.24| 0.27| 0.31| 0.25|CS 22182-033
Zr II |  1| | 0.35| 0.24| 0.09| 0.15| 0.22| 0.11|CS 22182-033
Nb II |  1|<| 1.45| 2.46|     |     |     |     |CS 22182-033
Mo I  |  1|<| 1.39| 2.16|     |     |     |     |CS 22182-033
Tc I  |  1|<| 1.40|     |     |     |     |     |CS 22182-033
Ba II |  2| |-0.76|-0.47| 0.07| 0.14| 0.21| 0.10|CS 22182-033
Ce II |  1|<| 0.14| 1.03|     |     |     |     |CS 22182-033
Pr II |  1|<|-0.70| 1.05|     |     |     |     |CS 22182-033
Nd II |  1|<|-0.40| 0.65|     |     |     |     |CS 22182-033
Eu II |  1| |-1.55| 0.40| 0.22| 0.25| 0.29| 0.23|CS 22182-033
Dy II |  1|<|-0.58| 0.79|     |     |     |     |CS 22182-033
Ho II |  1|<|-0.38| 1.61|     |     |     |     |CS 22182-033
Er II |  3|<|-0.35| 1.20|     |     |     |     |CS 22182-033
Tm II |  2|<|-0.65| 1.72|     |     |     |     |CS 22182-033
Yb II |  1| |-1.73|-0.18| 0.33| 0.35| 0.38| 0.34|CS 22182-033
Hf II |  2|<| 0.44| 2.06|     |     |     |     |CS 22182-033
Pb I  |  1|<| 1.76| 2.37|     |     |     |     |CS 22182-033
Th II |  3|<|-0.49| 1.92|     |     |     |     |CS 22182-033
Fe I  |124| | 5.32|-2.18| 0.06| 0.21| 0.00| 0.00|CS 22182-047
Fe II | 11| | 5.51|-1.99| 0.07| 0.14| 0.00| 0.00|CS 22182-047
Li I  |  1| | 2.21|     | 0.05| 0.20| 0.08| 0.20|CS 22182-047
C (CH)|  1| | 6.25|-0.21| 0.15| 0.25| 0.19| 0.19|CS 22182-047
N (NH)|  1| | 6.05| 0.19| 0.30| 0.36| 0.32| 0.32|CS 22182-047
O I   |  3| | 7.15| 0.65| 0.07| 0.20| 0.09| 0.20|CS 22182-047
Mg I  |  4| | 5.82| 0.40| 0.07| 0.23| 0.10| 0.22|CS 22182-047
Al I  |  1| | 3.67|-0.60| 0.09| 0.33| 0.18| 0.27|CS 22182-047
Si I  |  1| | 5.88| 0.55| 0.18| 0.26| 0.19| 0.26|CS 22182-047
K I   |  1| | 3.17| 0.32| 0.13| 0.23| 0.14| 0.23|CS 22182-047
Ca I  | 13| | 4.60| 0.44| 0.10| 0.23| 0.12| 0.23|CS 22182-047
Sc II |  8| | 1.23| 0.07| 0.06| 0.14| 0.20| 0.09|CS 22182-047
Ti I  | 15| | 3.05| 0.28| 0.06| 0.20| 0.09| 0.20|CS 22182-047
Ti II | 30| | 3.27| 0.30| 0.06| 0.14| 0.19| 0.09|CS 22182-047
V I   |  1| | 1.84| 0.09| 0.11| 0.22| 0.13| 0.22|CS 22182-047
V II  |  2| | 2.00| 0.06| 0.20| 0.24| 0.28| 0.21|CS 22182-047
Cr I  |  9| | 3.33|-0.13| 0.06| 0.21| 0.08| 0.20|CS 22182-047
Cr II |  4| | 3.87| 0.22| 0.08| 0.14| 0.21| 0.10|CS 22182-047
Mn I  |  5| | 2.93|-0.32| 0.05| 0.22| 0.08| 0.21|CS 22182-047
Mn II |  3| | 3.11|-0.33| 0.15| 0.20| 0.24| 0.17|CS 22182-047
Co I  |  5| | 2.68|-0.13| 0.14| 0.26| 0.16| 0.25|CS 22182-047
Ni I  | 11| | 4.08| 0.04| 0.13| 0.26| 0.15| 0.24|CS 22182-047
Zn I  |  2| | 2.71| 0.34| 0.06| 0.20| 0.09| 0.20|CS 22182-047
Rb I  |  1|<| 2.37| 2.03|     |     |     |     |CS 22182-047
Sr II |  2| | 1.18| 0.29| 0.04| 0.17| 0.15| 0.19|CS 22182-047
Y II  |  3| | 0.22| 0.00| 0.10| 0.16| 0.21| 0.12|CS 22182-047
Zr II |  3| | 0.96| 0.37| 0.07| 0.14| 0.21| 0.10|CS 22182-047
Nb II |  1|<| 1.25| 1.78|     |     |     |     |CS 22182-047
Mo I  |  1|<| 0.67| 0.97|     |     |     |     |CS 22182-047
Tc I  |  1|<| 1.02|     |     |     |     |     |CS 22182-047
Ba II |  2| | 0.40| 0.21| 0.06| 0.14| 0.19| 0.10|CS 22182-047
La II |  4| |-0.55| 0.33| 0.13| 0.18| 0.24| 0.15|CS 22182-047
Ce II |  1| | 0.00| 0.41| 0.21| 0.25| 0.29| 0.23|CS 22182-047
Pr II |  2| |-0.31| 0.96| 0.13| 0.18| 0.24| 0.15|CS 22182-047
Nd II |  1| |-0.46| 0.11| 0.19| 0.23| 0.27| 0.20|CS 22182-047
Sm II |  2|<|-0.31| 0.72|     |     |     |     |CS 22182-047
Eu II |  2| |-1.33| 0.13| 0.14| 0.19| 0.24| 0.15|CS 22182-047
Gd II |  3|<| 0.17| 1.09|     |     |     |     |CS 22182-047
Tb II |  3|<|-0.42| 1.27|     |     |     |     |CS 22182-047
Dy II |  1| |-0.68| 0.21| 0.13| 0.18| 0.24| 0.15|CS 22182-047
Er II |  2|<|-0.21| 0.86|     |     |     |     |CS 22182-047
Tm II |  2|<|-0.69| 1.20|     |     |     |     |CS 22182-047
Yb II |  1| |-1.09|-0.02| 0.17| 0.21| 0.26| 0.18|CS 22182-047
Hf II |  2|<| 0.39| 1.53|     |     |     |     |CS 22182-047
Ir I  |  1|<| 1.00| 1.80|     |     |     |     |CS 22182-047
Pb I  |  1| | 0.80| 0.94| 0.29| 0.35| 0.30| 0.35|CS 22182-047
Th II |  3|<|-0.64| 1.29|     |     |     |     |CS 22182-047
Fe I  | 97| | 3.93|-3.57| 0.06| 0.15| 0.00| 0.00|CS 22183-031
Fe II |  6| | 4.00|-3.50| 0.07| 0.16| 0.00| 0.00|CS 22183-031
Li I  |  1|<| 0.64|     |     |     |     |     |CS 22183-031
C (CH)|  1| | 5.23| 0.30| 0.15| 0.25| 0.19| 0.19|CS 22183-031
N (NH)|  1| | 4.50| 0.17| 0.30| 0.36| 0.32| 0.32|CS 22183-031
O I   |  4|<| 6.86| 1.74|     |     |     |     |CS 22183-031
Mg I  |  7| | 4.80| 0.77| 0.05| 0.15| 0.08| 0.18|CS 22183-031
Al I  |  1| | 2.30|-0.58| 0.09| 0.27| 0.22| 0.29|CS 22183-031
Si I  |  1| | 5.03| 1.09| 0.16| 0.29| 0.22| 0.26|CS 22183-031
K I   |  1| | 2.23| 0.77| 0.13| 0.19| 0.15| 0.22|CS 22183-031
Ca I  | 11| | 3.32| 0.55| 0.11| 0.17| 0.13| 0.20|CS 22183-031
Sc II |  7| |-0.23| 0.11| 0.07| 0.15| 0.18| 0.11|CS 22183-031
Ti I  |  8| | 1.64| 0.26| 0.07| 0.15| 0.10| 0.19|CS 22183-031
Ti II | 21| | 1.64| 0.19| 0.07| 0.15| 0.18| 0.10|CS 22183-031
V I   |  1| | 0.60| 0.24| 0.13| 0.18| 0.15| 0.22|CS 22183-031
V II  |  1| | 0.69| 0.26| 0.23| 0.26| 0.28| 0.24|CS 22183-031
Cr I  |  6| | 1.84|-0.23| 0.07| 0.15| 0.09| 0.19|CS 22183-031
Mn I  |  4| | 1.48|-0.38| 0.09| 0.17| 0.11| 0.20|CS 22183-031
Mn II |  3| | 1.45|-0.48| 0.16| 0.21| 0.23| 0.18|CS 22183-031
Co I  | 11| | 1.56| 0.14| 0.14| 0.20| 0.16| 0.23|CS 22183-031
Ni I  | 10| | 2.78| 0.12| 0.12| 0.23| 0.17| 0.25|CS 22183-031
Zn I  |  2| | 1.66| 0.67| 0.10| 0.16| 0.12| 0.20|CS 22183-031
Rb I  |  1|<| 2.16| 3.21|     |     |     |     |CS 22183-031
Sr II |  2| |-0.84|-0.22| 0.04| 0.23| 0.23| 0.23|CS 22183-031
Y II  |  2| |-1.61|-0.32| 0.12| 0.18| 0.21| 0.14|CS 22183-031
Zr II |  3| |-0.70| 0.22| 0.11| 0.18| 0.20| 0.13|CS 22183-031
Nb II |  1|<| 0.26| 2.30|     |     |     |     |CS 22183-031
Mo I  |  1|<|-0.60| 1.09|     |     |     |     |CS 22183-031
Tc I  |  1|<| 0.19|     |     |     |     |     |CS 22183-031
Sn I  |  1|<| 0.95| 2.45|     |     |     |     |CS 22183-031
Ba II |  4| |-1.19| 0.13| 0.06| 0.15| 0.17| 0.10|CS 22183-031
La II |  4| |-1.87| 0.53| 0.11| 0.18| 0.21| 0.14|CS 22183-031
Ce II |  1| |-1.58| 0.34| 0.11| 0.18| 0.21| 0.14|CS 22183-031
Pr II |  1| |-2.03| 0.75| 0.20| 0.25| 0.26| 0.21|CS 22183-031
Nd II |  1| |-1.49| 0.59| 0.08| 0.16| 0.19| 0.11|CS 22183-031
Sm II |  2|<|-1.55| 0.99|     |     |     |     |CS 22183-031
Eu II |  4| |-2.14| 0.84| 0.08| 0.16| 0.19| 0.11|CS 22183-031
Gd II |  3|<|-1.01| 1.42|     |     |     |     |CS 22183-031
Tb II |  4|<|-1.86| 1.34|     |     |     |     |CS 22183-031
Dy II |  2| |-1.42| 0.98| 0.12| 0.19| 0.21| 0.14|CS 22183-031
